group,replicate,colony,painted,trial,video,first_discovery,first_trans,decision_lat
Choice,1,n.amb5,no,1,701,1198.161,6879.582,5681.421
Choice,1,n.amb5,no,2,937,456.176,943.774,487.598
Choice,1,n.amb5,no,3,376,919.607,2257.722,1338.115
Choice,1,n.amb5,no,4,322,720.9,2396.906,1676.006
Choice,1,n.amb5,no,5,583,580.541,1861.285,1280.744
Choice,1,n.amb5,no,6,305,662.954,1421.426,758.472
Choice,1,n.amb5,no,7,484,398.223,1042.088,643.865
Choice,1,n.amb20,no,1,326,1718.438,4068.649,2350.211
Choice,1,n.amb20,no,2,430,861.584,1430.858,569.274
Choice,1,n.amb20,no,3,234,270.956,934.973,664.017
Choice,1,n.amb20,no,4,364,538.67,1387.747,849.077
Choice,1,n.amb20,no,5,252,568.71,1413.729,845.019
Choice,1,n.amb20,no,6,438,319.476,851.696,532.22
Choice,1,n.amb20,no,7,574,233.465,665.298,431.833
Choice,1,n.amb16,no,1,154,3204.999,18519.63,15314.631
Choice,1,n.amb16,no,2,327,1146.466,3931.773,2785.307
Choice,1,n.amb16,no,3,212,712.439,3418.459,2706.02
Choice,1,n.amb16,no,4,159,217.672,1488.421,1270.749
Choice,1,n.amb16,no,5,886,920.434,4016.107,3095.673
Choice,1,n.amb16,no,6,813,408.954,4241.734,3832.78
Choice,1,n.amb16,no,7,490,492.651,4764.69,4272.039
Choice,1,n.amb17,no,1,398,1397.997,3945.888,2547.891
Choice,1,n.amb17,no,2,731,530.95,2093.695,1562.745
Choice,1,n.amb17,no,3,375,688.42,2097.317,1408.897
Choice,1,n.amb17,no,4,971,603.681,2559.707,1956.026
Choice,1,n.amb17,no,5,559,555.92,2560.663,2004.743
Choice,1,n.amb17,no,6,487,508.43,1005.657,497.227
Choice,1,n.amb17,no,7,958,488.795,706.574,217.779
Choice,1,n.amb9,no,1,403,1861.974,4983.521,3121.547
Choice,1,n.amb9,no,2,627,562.921,1343.417,780.496
Choice,1,n.amb9,no,3,619,775.986,1936.442,1160.456
Choice,1,n.amb9,no,4,665,490.576,1515.11,1024.534
Choice,1,n.amb9,no,5,483,432.981,1984.503,1551.522
Choice,1,n.amb9,no,6,333,507.002,983.431,476.429
Choice,1,n.amb9,no,7,397,247.675,1068.189,820.514
Choice,2,n.amb.22,no,1,694,1814.941,8386.331,6571.39
Choice,2,n.amb.22,no,2,266,426.284,897.26,470.976
Choice,2,n.amb.22,no,3,211,578.019,2767.272,2189.253
Choice,2,n.amb.22,no,4,914,415.423,1255.94,840.517
Choice,2,n.amb.22,no,5,739,326.94,1031.171,704.231
Choice,2,n.amb.22,no,6,639,320.432,1270.722,950.29
Choice,2,n.amb.22,no,7,625,626.67,1057.69,431.02
Choice,2,n.amb23,no,1,135,1472.667,5373.828,3901.161
Choice,2,n.amb23,no,2,471,289.911,2260.938,1971.027
Choice,2,n.amb23,no,3,203,646.692,3506.076,2859.384
Choice,2,n.amb23,no,4,193,1219.686,2840.705,1621.019
Choice,2,n.amb23,no,5,355,1078.757,2593.492,1514.735
Choice,2,n.amb23,no,6,214,NA,NA,NA
Choice,2,n.amb23,no,7,684,509.939,2047.987,1538.048
Choice,2,n.amb18,no,1,938,1364.521,9537.557,8173.036
Choice,2,n.amb18,no,2,606,477.695,3355.421,2877.726
Choice,2,n.amb18,no,3,425,596.182,1998.935,1402.753
Choice,2,n.amb18,no,4,228,517.424,1814.681,1297.257
Choice,2,n.amb18,no,5,658,672.158,2026.428,1354.27
Choice,2,n.amb18,no,6,722,326.984,1324.71,997.726
Choice,2,n.amb18,no,7,132,289.927,1098.928,809.001
Choice,2,n.amb8,no,1,702,3322.705,5411.174,2088.469
Choice,2,n.amb8,no,2,301,552.047,1611.49,1059.443
Choice,2,n.amb8,no,3,828,331.228,1233.695,902.467
Choice,2,n.amb8,no,4,960,2145.771,3596.589,1450.818
Choice,2,n.amb8,no,5,529,677.69,1460.92,783.23
Choice,2,n.amb8,no,6,548,1314.67,2251.432,936.762
Choice,2,n.amb8,no,7,837,461.963,1002.968,541.005
Choice,2,n.amb15,no,1,457,2712.081,9289.833,6577.752
Choice,2,n.amb15,no,2,418,1506.918,6916.064,5409.146
Choice,2,n.amb15,no,3,961,873.721,3365.624,2491.903
Choice,2,n.amb15,no,4,346,666.168,2977.372,2311.204
Choice,2,n.amb15,no,5,125,856.912,2379.705,1522.793
Choice,2,n.amb15,no,6,128,364.23,2859.864,2495.634
Choice,2,n.amb15,no,7,853,1221.206,1892.399,671.193
Choice,3,n.amb6,no,1,845,1624.16,3687.734,2063.574
Choice,3,n.amb6,no,2,940,233.659,1184.155,950.496
Choice,3,n.amb6,no,3,115,733.774,2384.007,1650.233
Choice,3,n.amb6,no,4,741,255.174,3085.166,2829.992
Choice,3,n.amb6,no,5,915,524.473,1798.446,1273.973
Choice,3,n.amb6,no,6,324,774.452,2136.981,1362.529
Choice,3,n.amb6,no,7,107,1039.464,2867.192,1827.728
Choice,3,n.amb7,no,1,784,966.415,3539.96,2573.545
Choice,3,n.amb7,no,2,273,494.403,1663.155,1168.752
Choice,3,n.amb7,no,3,436,691.433,1424.708,733.275
Choice,3,n.amb7,no,4,268,403.708,1248.719,845.011
Choice,3,n.amb7,no,5,516,301.677,867.986,566.309
Choice,3,n.amb7,no,6,687,423.666,1197.411,773.745
Choice,3,n.amb7,no,7,192,341.205,1833.198,1491.993
Choice,3,n.amb11,no,1,830,2795.474,3113.409,317.935
Choice,3,n.amb11,no,2,979,859.401,1763.904,904.503
Choice,3,n.amb11,no,3,669,496.169,1819.429,1323.26
Choice,3,n.amb11,no,4,805,99.665,1500.917,1401.252
Choice,3,n.amb11,no,5,353,468.009,1788.462,1320.453
Choice,3,n.amb11,no,6,270,576.738,1978.484,1401.746
Choice,3,n.amb11,no,7,378,329.937,2679.747,2349.81
Choice,3,n.amb19,no,1,799,753.901,3892.42,3138.519
Choice,3,n.amb19,no,2,609,300.687,1440.447,1139.76
Choice,3,n.amb19,no,3,325,523.713,1050.956,527.243
Choice,3,n.amb19,no,4,984,423.982,1590.922,1166.94
Choice,3,n.amb19,no,5,576,518.174,1168.944,650.77
Choice,3,n.amb19,no,6,539,439.441,1642.735,1203.294
Choice,3,n.amb19,no,7,697,410.946,2780.475,2369.529
Choice,3,n.amb29,no,1,964,1926.161,3461.13,1534.969
Choice,3,n.amb29,no,2,807,377.185,3262.941,2885.756
Choice,3,n.amb29,no,3,738,280.003,3919.051,3639.048
Choice,3,n.amb29,no,4,468,986.664,3003.156,2016.492
Choice,3,n.amb29,no,5,655,636.745,2252.768,1616.023
Choice,3,n.amb29,no,6,795,507.422,3199.803,2692.381
Choice,3,n.amb29,no,7,560,933.469,4656.414,3722.945
Choice,4,n.amb44,no,1,803,1399.43,5009.066,3609.636
Choice,4,n.amb44,no,2,553,1532.912,1770.165,237.253
Choice,4,n.amb44,no,3,223,534.402,1320.157,785.755
Choice,4,n.amb44,no,4,515,588.653,3343.663,2755.01
Choice,4,n.amb44,no,5,710,2737.15,3448.674,711.524
Choice,4,n.amb44,no,6,269,679.411,4576.257,3896.846
Choice,4,n.amb44,no,7,543,1557.942,14739.592,13181.65
Choice,4,n.amb55,yes,1,572,1701,3354,1653
Choice,4,n.amb55,yes,2,456,670.404,2590.412,1920.008
Choice,4,n.amb55,yes,3,643,713,2175,1462
Choice,4,n.amb55,yes,4,422,321.404,1318.452,997.048
Choice,4,n.amb55,yes,5,981,343,1148,805
Choice,4,n.amb55,yes,6,999,424.156,1299.156,875
Choice,4,n.amb55,yes,7,872,490.449,1489.213,998.764
Choice,4,n.amb41,yes,1,365,870,2800,1930
Choice,4,n.amb41,yes,2,891,542.15,2821.752,2279.602
Choice,4,n.amb41,yes,3,338,809,3423,2614
Choice,4,n.amb41,yes,4,742,678.401,2824.162,2145.761
Choice,4,n.amb41,yes,5,871,388,2066,1678
Choice,4,n.amb41,yes,6,535,350.154,1592.406,1242.252
Choice,4,n.amb41,yes,7,274,710.222,1917.541,1207.319
Choice,4,n.amb53,yes,1,296,398.446,2210.413,1811.967
Choice,4,n.amb53,yes,2,482,415.679,1860.904,1445.225
Choice,4,n.amb53,yes,3,260,886.939,2430.168,1543.229
Choice,4,n.amb53,yes,4,876,448.164,2382.927,1934.763
Choice,4,n.amb53,yes,5,571,622.413,2344.927,1722.514
Choice,4,n.amb53,yes,6,873,642.918,1109.426,466.508
Choice,4,n.amb53,yes,7,858,268.664,668.682,400.018
Choice,4,n.amb42,yes,1,164,290.654,1567.153,1276.499
Choice,4,n.amb42,yes,2,800,847.177,1792.162,944.985
Choice,4,n.amb42,yes,3,454,800,2195,1395
Choice,4,n.amb42,yes,4,345,755.659,1330.915,575.256
Choice,4,n.amb42,yes,5,166,545.524,1758.653,1213.129
Choice,4,n.amb42,yes,6,361,523.68,1360.4,836.72
Choice,4,n.amb42,yes,7,653,134.689,1401.434,1266.745
NoChoice,1,n.amb21,no,1,153,4274.35,8219.167,3944.817
NoChoice,1,n.amb21,no,2,391,626.46,1906.015,1279.555
NoChoice,1,n.amb21,no,3,523,403.467,1872.982,1469.515
NoChoice,1,n.amb21,no,4,968,198.443,2055.988,1857.545
NoChoice,1,n.amb21,no,5,117,724.212,2159.193,1434.981
NoChoice,1,n.amb21,no,6,257,628.945,2230.443,1601.498
NoChoice,1,n.amb21,no,7,443,544.154,1554.474,1010.32
NoChoice,1,n.amb24,no,1,23,927.16,3564.706,2637.546
NoChoice,1,n.amb24,no,2,481,315.478,670.992,355.514
NoChoice,1,n.amb24,no,3,284,459.969,1340.94,880.971
NoChoice,1,n.amb24,no,4,332,576.007,1870.023,1294.016
NoChoice,1,n.amb24,no,5,835,1566.705,3777.388,2210.683
NoChoice,1,n.amb24,no,6,426,1126.436,2129.436,1003
NoChoice,1,n.amb24,no,7,319,516.933,2185.687,1668.754
NoChoice,1,n.amb37,no,1,162,1958.94,3201.573,1242.633
NoChoice,1,n.amb37,no,2,723,191.403,1744.671,1553.268
NoChoice,1,n.amb37,no,3,258,1021.166,2545.689,1524.523
NoChoice,1,n.amb37,no,4,300,617.928,2066.422,1448.494
NoChoice,1,n.amb37,no,5,411,1814.159,2204.928,390.769
NoChoice,1,n.amb37,no,6,323,457.928,2283.915,1825.987
NoChoice,1,n.amb37,no,7,315,323.309,2517.104,2193.795
NoChoice,1,n.amb28,no,1,316,5921.144,NA,NA
NoChoice,1,n.amb28,no,2,196,8356.629,13220.826,4864.197
NoChoice,1,n.amb28,no,3,916,1241.435,2505.69,1264.255
NoChoice,1,n.amb28,no,4,442,1512.948,3806.466,2293.518
NoChoice,1,n.amb28,no,5,662,1469.164,4839.377,3370.213
NoChoice,1,n.amb28,no,6,541,1046.686,1967.191,920.505
NoChoice,1,n.amb28,no,7,629,721.472,1834.208,1112.736
NoChoice,1,n.amb25,no,1,768,1560.901,5958.629,4397.728
NoChoice,1,n.amb25,no,2,246,313.701,1608.933,1295.232
NoChoice,1,n.amb25,no,3,829,667.221,2536.203,1868.982
NoChoice,1,n.amb25,no,4,357,200.679,1139.44,938.761
NoChoice,1,n.amb25,no,5,755,528.689,1388.94,860.251
NoChoice,1,n.amb25,no,6,561,467.926,880.679,412.753
NoChoice,1,n.amb25,no,7,453,495.414,1495.45,1000.036
NoChoice,2,n.amb3,no,1,841,1236.169,6130.978,4894.809
NoChoice,2,n.amb3,no,2,859,440.185,2621.946,2181.761
NoChoice,2,n.amb3,no,3,618,1429.765,3200.489,1770.724
NoChoice,2,n.amb3,no,4,965,992.937,2273.94,1281.003
NoChoice,2,n.amb3,no,5,934,708.198,2075.704,1367.506
NoChoice,2,n.amb3,no,6,831,693.916,1160.666,466.75
NoChoice,2,n.amb3,no,7,749,534.682,1560.961,1026.279
NoChoice,2,n.amb14,no,1,458,2053.674,6259.794,4206.12
NoChoice,2,n.amb14,no,2,734,672.45,3005.472,2333.022
NoChoice,2,n.amb14,no,3,771,555.952,1331.949,775.997
NoChoice,2,n.amb14,no,4,218,712.41,2262.938,1550.528
NoChoice,2,n.amb14,no,5,810,455.688,1154.235,698.547
NoChoice,2,n.amb14,no,6,384,522.231,1060.289,538.058
NoChoice,2,n.amb14,no,7,699,532.71,1970.709,1437.999
NoChoice,2,n.amb13,no,1,249,1311.219,4414.407,3103.188
NoChoice,2,n.amb13,no,2,751,677.691,5939.315,5261.624
NoChoice,2,n.amb13,no,3,352,270.438,2926.936,2656.498
NoChoice,2,n.amb13,no,4,652,968.681,4075.973,3107.292
NoChoice,2,n.amb13,no,5,889,174.702,3181.494,3006.792
NoChoice,2,n.amb13,no,6,567,401.165,2033.18,1632.015
NoChoice,2,n.amb13,no,7,447,244.681,1517.17,1272.489
NoChoice,2,n.amb1 ,no,1,547,2559.73,6151.249,3591.519
NoChoice,2,n.amb1 ,no,2,276,1270.451,5917.023,4646.572
NoChoice,2,n.amb1 ,no,3,857,682.728,2993.735,2311.007
NoChoice,2,n.amb1 ,no,4,311,1617.469,4890.673,3273.204
NoChoice,2,n.amb1,no,5,825,2235.234,3533.238,1298.004
NoChoice,2,n.amb1,no,6,386,675.413,3124.295,2448.882
NoChoice,2,n.amb1,no,7,243,895.01,2362.012,1467.002
NoChoice,2,n.amb2 ,no,1,719,1515.702,3838.184,2322.482
NoChoice,2,n.amb2 ,no,2,598,1499.927,6562.002,5062.075
NoChoice,2,n.amb2 ,no,3,538,404.942,1341.47,936.528
NoChoice,2,n.amb2 ,no,4,475,693.68,1995.201,1301.521
NoChoice,2,n.amb2 ,no,5,671,999.931,2412.189,1412.258
NoChoice,2,n.amb2 ,no,6,584,355.221,1373.498,1018.277
NoChoice,2,n.amb2,no,7,310,690.914,1778.954,1088.04
NoChoice,3,n.amb4,no,1,536,1614.404,4911.755,3297.351
NoChoice,3,n.amb4,no,2,770,975.451,3384.865,2409.414
NoChoice,3,n.amb4,no,3,656,667.998,2544.933,1876.935
NoChoice,3,n.amb4,no,4,217,862.155,1413.171,551.016
NoChoice,3,n.amb4,no,5,489,1051.953,4849.731,3797.778
NoChoice,3,n.amb4,no,6,565,128.208,1788.212,1660.004
NoChoice,3,n.amb4,no,7,339,506.213,2330.462,1824.249
NoChoice,3,n.amb10,no,1,179,1153.169,3631.14,2477.971
NoChoice,3,n.amb10,no,2,279,255.969,2440.437,2184.468
NoChoice,3,n.amb10,no,3,554,246.16,2369.68,2123.52
NoChoice,3,n.amb10,no,4,519,330.799,3798.375,3467.576
NoChoice,3,n.amb10,no,5,838,688.719,2290.696,1601.977
NoChoice,3,n.amb10,no,6,928,591.959,2028.736,1436.777
NoChoice,3,n.amb10,no,7,564,423.438,3246.616,2823.178
NoChoice,3,n.amb26,no,1,902,5880.038,13364.354,7484.316
NoChoice,3,n.amb26,no,2,433,1179.959,5271.111,4091.152
NoChoice,3,n.amb26,no,3,367,662.382,1682.742,1020.36
NoChoice,3,n.amb26,no,4,705,699.95,2722.476,2022.526
NoChoice,3,n.amb26,no,5,518,1000.208,4271.415,3271.207
NoChoice,3,n.amb26,no,6,809,817.426,2506.926,1689.5
NoChoice,3,n.amb26,no,7,577,1002.701,2196.943,1194.242
NoChoice,3,n.amb33,no,1,884,1896.158,4645.78,2749.622
NoChoice,3,n.amb33,no,2,242,562.672,3156.491,2593.819
NoChoice,3,n.amb33,no,3,461,287.678,3204.22,2916.542
NoChoice,3,n.amb33,no,4,362,512.44,2938.311,2425.871
NoChoice,3,n.amb33,no,5,700,3114.887,5748.536,2633.649
NoChoice,3,n.amb33,no,6,385,424.93,2034.248,1609.318
NoChoice,3,n.amb33,no,7,589,643.674,2213.486,1569.812
NoChoice,3,n.amb34,no,1,788,7691.49,15416.926,7725.436
NoChoice,3,n.amb34,no,2,804,1400.239,3925.398,2525.159
NoChoice,3,n.amb34,no,3,939,436.488,1700.42,1263.932
NoChoice,3,n.amb34,no,4,855,1038.223,2318.24,1280.017
NoChoice,3,n.amb34,no,5,321,823.993,1657.665,833.672
NoChoice,3,n.amb34,no,6,558,605.707,1413.469,807.762
NoChoice,3,n.amb34,no,7,628,726.932,4153.224,3426.292
NoChoice,4,n.amb58,no,1,820,2116.654,6628.466,4511.812
NoChoice,4,n.amb58,no,2,757,551.166,2139.661,1588.495
NoChoice,4,n.amb58,no,3,227,488.408,2687.181,2198.773
NoChoice,4,n.amb58,no,4,717,696.151,2793.653,2097.502
NoChoice,4,n.amb58,no,5,460,809.902,3163.164,2353.262
NoChoice,4,n.amb58,no,6,360,728.424,1984.516,1256.092
NoChoice,4,n.amb58,no,7,394,1900.466,3253.688,1353.222
NoChoice,4,n.amb60,yes,1,272,848,2693,1845
NoChoice,4,n.amb60,yes,2,892,418.664,2733.437,2314.773
NoChoice,4,n.amb60,yes,3,849,698,2259,1561
NoChoice,4,n.amb60,yes,4,996,526.411,2370.929,1844.518
NoChoice,4,n.amb60,yes,5,781,473,1800,1327
NoChoice,4,n.amb60,yes,6,280,464.671,1154.672,690.001
NoChoice,4,n.amb60,yes,7,281,464.429,1569.688,1105.259
NoChoice,4,n.amb45,yes,1,224,1050.303,1716.848,666.545
NoChoice,4,n.amb45,yes,2,678,425.16,1411.158,985.998
NoChoice,4,n.amb45,yes,3,637,383.075,1198.681,815.606
NoChoice,4,n.amb45,yes,4,294,1371.432,2543.172,1171.74
NoChoice,4,n.amb45,yes,5,624,288.921,2154.409,1865.488
NoChoice,4,n.amb45,yes,6,232,223.682,1132.942,909.26
NoChoice,4,n.amb45,yes,7,432,483.76,1394.805,911.045
NoChoice,4,n.amb59,yes,1,948,1119.186,2742.934,1623.748
NoChoice,4,n.amb59,yes,2,176,185.176,1289.158,1103.982
NoChoice,4,n.amb59,yes,3,498,544.153,1090.151,545.998
NoChoice,4,n.amb59,yes,4,691,462.671,1259.427,796.756
NoChoice,4,n.amb59,yes,5,298,870.205,1367.48,497.275
NoChoice,4,n.amb59,yes,6,949,493.156,801.9,308.744
NoChoice,4,n.amb59,yes,7,335,454.18,1203.701,749.521
NoChoice,4,n.amb47,yes,1,646,2991.594,5483.844,2492.25
NoChoice,4,n.amb47,yes,2,593,798.711,2275.671,1476.96
NoChoice,4,n.amb47,yes,3,215,538.153,1915.901,1377.748
NoChoice,4,n.amb47,yes,4,285,583.157,2438.194,1855.037
NoChoice,4,n.amb47,yes,5,435,345.406,1624.669,1279.263
NoChoice,4,n.amb47,yes,6,563,454.906,1312.918,858.012
NoChoice,4,n.amb47,yes,7,369,551.72,1835.668,1283.948